Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
0,Q5001,福特,福克斯,长安福特福克斯，突然打不着车,技师说：你好车主，根据提供图片，这是车辆防盗系统起作用了，需要从新匹配车辆的所有的钥匙。|车主说：哦|技师说：需要联系当地4s店，或者专业做汽车钥匙的|车主说：OK,根据提供图片，这是车辆防盗起作用了，需要从新匹配钥匙。
1,Q5002,路虎,揽胜运动版,路虎电动脚踏板无反应，请问是什么原因，如何解决？,技师说：电机接触不良吧|车主说：不是，是因为车主右边踏板底盘被刮了，踏板支架被挂断了，现在修复了，但是感觉电机在响，电动踏板不回位，请问如何复位或者匹配脚踏板？|技师说：是不是与踏板脱槽了|车主说：是的，电机之前和踏板脱槽了，现在已经修复上了，但是踏板不正常，开关门几次后现在再开关门有电机声音，但是不复位|技师说：踏板变形了吗？|车主说：现在如何解决？需要匹配电机|车主说：吗|车主说：踏板没变形|技师说：他这个有专门的开关吗？|车主说：16款运动揽胜|技师说：你按开关十秒左右看看能匹配上不|车主说：开关在什么位置|技师说：它开关是怎么控制的|车主说：开门和关门控制的|车主说：[图片]|车主说：这个是开关控制吗|技师说：你常按10秒以上这个开关能学习上不能|车主说：这个是减震放气的|车主说：我按了，就放气|技师说：你按遥控器上的按键试下|车主说：车架号是  SALGA3FV9HA334882|车主说：[图片]|技师说：你找个电脑匹配一下试试|车主说：没反应|车主说：用了，电脑里面关于脚踏板只有维修模式启用和禁用|车主说：都试了，没有用|技师说：那你找当地的专业维修这款车的人员给你看看|车主说：没有复位匹配的方法吗|车主说：我自己就是学修车的，不找别人，咨询可以，要靠自己修|技师说：没有，我修这车也不多,检查踏板与电机是否托槽
2,Q5003,大众,帕萨特,新帕萨特发动机大修后油轨压力高是怎么回事,技师说：你读取一下汽油泵，高压油压|技师说：怠速40巴|车主说：怠速48|车主说：刚换的新高压油泵    现在53|技师说：汽油压力高了，检查高压油泵，凸轮轴，以及高压压力传感器。|车主说：油嘴有没有可能堵了|技师说：大修不清洗喷油嘴？|车主说：我看他也没清洗就装上了|技师说：外面的修理厂，没事设备|车主说：外面的   没使|技师说：没有清洗设备|车主说：嗯没清洗   我在一边看着的    直接装的,大修后出现的问题，需要重点检查高压油泵以及凸轮轴。
3,Q5004,奥迪,奥迪A6L,2010年奥迪a6总是息火,技师说：您好，您的车辆如果熄火之后，还可以启动着车吗？|技师说：多少公里了？|技师说：可以|技师说：我买的二手车现在公里七万|技师说：低速行驶中息火 一天也就一次|技师说：这样的话，您这个车可能是由于积炭多造成的，最好到修理厂检查，清洗喷油嘴和节气门。并匹配节气门。还需要使用解码器，调取故障码，读取数据流看一下，看一下有没有发动机方面的故障，针对排除。|技师说：这个公里数还需要更换汽油滤芯。更换老化的火花塞。清洗三元催化。进气道。如果是正时皮带的，还需要更换正时皮带。这些就是大保养 也是发动机的深度养护。|技师说：都换新的了|技师说：油泵 油嘴 火花塞 都换了|技师说：检测四缸断火 换完以后是一二缸断火|技师说：以前是发动机颤抖 更换完喷油嘴就不抖了|技师说：请问您的咨询服务电话是多少|技师说：[语音]|技师说：我没看到电话咨询|技师说：[语音]|技师说：气缸压力正常|技师说：没有故障码|技师说：缸压多少|技师说：燃烧室积炭检查了吗|技师说：这个我不清楚，4s店检查的|技师说：哦|技师说：没有数据不好说，也许缸压偏低，也有积炭过多引起的|技师说：如果解码器报失火的故障的话，和经常熄火是有关系的。|技师说：还需要使用解码器读取数据流看一下。这个相关的原因很多的。|技师说：并不是解码器调不出故障码来 就没有故障。,您说的这个情况，这个公里数，一般原因是由于积炭太多或者某个传感器信号失准，线路虚接造成的，需要到修理厂检查清洗喷油嘴 节气门 并匹配节气门，更换老化的火花塞，检查清洗三元催化，检查清除燃烧室积炭，更换汽油滤芯儿，使用解码器读取故障码，数据流针对排除故障 修复相关线路，更换损坏部件
4,Q5005,福特,翼搏,曲轴锁止点不是一缸上止点。询问如果按装正时？工具锁不了上止点,技师说：是上止点|技师说：我发图你看。我昨天装上发不了火|技师说：回复下|技师说：测量缸压有吗？|车主说：上止点错了。我按自己感觉对了上止点。发着车了。怕点火正时不太准,重新安装正时
5,Q5006,大众,Passat领驭,更好机油散热器，问题依然没有解决,技师说：仪表亮红色机油灯？|车主说：对|车主说：滴滴几声就恢复正常。请参考原先的提问！|技师说：我到哪去找。|车主说：[图片]|车主说：看到了吗？|技师说：是领驭吗？|车主说：是|车主说：感觉是行驶一段时间后报警。然后是走走停停报警次数增多。|技师说：稍等|技师说：[图片]|技师说：[图片]|技师说：测量一下标准机油压力，如果压力低需要进行相应的检查维修。|车主说：凉车机油压力4个多|车主说：热车才1个|技师说：热车怠速最低1.3|车主说：到不了1.3|技师说：发动机水温多少？|车主说：水温正常|车主说：没有测量温度|技师说：如果水温在80度的时候机油压力不到1.3，说明卸压，如果水温90℃以上，不到1.3说明散热不好。|车主说：好的|车主说：再试试|车主说：这两种情况怎么处理？|技师说：冷车机油粘度大，压力肯定高|车主说：这两种情况怎么解决？|技师说：如果水温80度，机油压力灯亮，说明机械方面有故障，考虑机油泵，以及限压阀，以及机油喷嘴，如果热车机油压力灯亮，重点考虑机油的粘度以及机油散热器，水箱是否堵塞，（也可以往机油里加注抗磨剂）。,根据你的描述，如果发动机水温低，而机油压力低说明是机械方面的故障，可以考虑机油泵，吸油管。以及机油压力调节阀，如果水温高，机油压力低，说明机油散热不好。需要检查散热器以及水箱。
6,Q5007,吉利汽车,吉利GC7,汽车火花塞磁柱上有机油,技师说：你气门室盖垫漏进去的吧|车主说：要怎么修呢|技师说：把气门室盖垫换掉就可以了|车主说：需要换什么配件.一般需要多少钱谢谢|技师说：内外垫，估计100块钱就修好了|技师说：更换气门室盖垫内外垫片,更换内外气门室盖垫
7,Q5008,福特,翼搏,翼博正时皮带怎么安装,技师说：您好，这款车需要曲轴转到一缸压缩上止点，凸轮轴，曲轴都有定位工具定位，挂皮带就可以了。|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：我把凸轴都拆下来了。现在VVT不知咋对。正时都是按工具卡对的。没缸压不着车|技师说：[语音]|技师说：[语音]|技师说：现在在家。师父方便留一**不？我微信***70000345。方便加下不？我把缸头都拆下来了。进气卡有二个卡点。晕了。|技师说：如果要付费。我可以支付。|技师说：为一正时皮带头搞大了。这款车第一次修|技师说：2014年1.5手动翼虎。走正时皮带的|技师说：翼博|技师说：不是翼虎是翼博|技师说：[语音]|技师说：[语音]|技师说：好的|技师说：凸轮轴上的VVT螺丝拆了。咋对回？|技师说：嗯，这个我们才来和正殿，我证实对好了，按那个专业工具装了，但是发不着没干呀，最后的调了90度以后再去装一下以后还能顶气门，我以为气门顶坏了，就把缸头拆下来以后，凸轮轴拆下VVT，拆下来后对不了啦。|技师说：[语音]|技师说：好|技师说：在吗|技师说：我曲轴锁止螺丝锁的不是上止高。曲轴的|技师说：师父在不在？|技师说：抱歉，今天我在忙了，让您久等了，有图片吗？发上来看一下|技师说：必须是一缸压缩上止点啊|车主说：自己找的上止点|技师说：您对的凸轮轴vvt轮图片呢 我看一下 您不发图片我怎么和您说呀|技师说：只能告诉您，按照我给您发的图片操作就可以了|技师说：如果您操作已经失误了，气门已经顶了的话，需要抬缸盖|车主说：装好了也发动了。怕时间不对|技师说：那就行了|技师说：怠速 加速正常就没问题了,这款车需要曲轴转到一缸压缩上止点凸轮轴vvt轮 使用专用工具定位，曲轴也有工具定位，下面给您相关图片参考
8,Q5009,广汽传祺,传祺GS8,Gs8进档慢是因为什么,技师说：您好，您的这款车手自一体的广汽传祺属于通病 可以和同款车辆比较一下，发现异常的话需要4s店质保。|技师说：我之前开就没这个毛病|技师说：多少公里了|技师说：如果是新车的话，建议您到4s店保养的时候顺便让师傅帮您检查一下，有异常的话，尽早质保,这个车本身换挡逻辑就不好，新车就有类似这样的情况，属于通病，如果您感觉到和以前差太多，新车最好去4s店保养的时候让修理师傅帮您检查一下，有问题及时质保
9,Q5010,斯柯达,明锐,2013款明锐车载凯立德导航收音机，没有声音，刚开始声音有时有，有时没有，现在彻底没声音了，其它一切都正常，问下大师，这是什么毛病。,技师说：导航能开机吗？|车主说：能开的|车主说：就是没声音|车主说：倒车影像也可以|技师说：那需要拆下来导航看一下后边的线插有没有松动。|车主说：我早上拆了，接口都插了，也没用|技师说：那就是导航音频输出有问题|车主说：那就是收音机里面有问题了，是吧|技师说：是的|车主说：还有，就是问下，车子1档起步抖动大，是什么原因呢，像榔头敲一样。|技师说：发动机爆震燃烧，清洗节气门，喷油嘴,如果导航线插没有问题，有可能导航输出音频有问题。
